,Dataset Type,accuracy,f1 score,precision,recall,roc auc score
0,training,0.968648159860602,0.26023374288282886,0.7460481099656358,0.1576043557168784,0.8340900491766258
1,development,0.962387031552424,0.243408951563458,0.4109730848861284,0.17290940766550522,0.7878190593900333
0,training,0.9684347956402578,0.23868161489922196,0.7645211930926217,0.14141560798548095,0.8212296381579485
1,development,0.9672385151920019,0.20529882932840418,0.6788916055419723,0.1209349593495935,0.8246454011999985
0,training,0.9679852880663663,0.22655866470299463,0.7325396825396825,0.13400116144018584,0.8264004522349432
1,development,0.9611218922406348,0.2721825962910129,0.39443219404630653,0.20778277914912152,0.8104027947436768
