,Dataset Type,accuracy,f1 score,precision,recall,roc auc score
0,training,0.9683306535803278,0.2410518626734843,0.7463249151903506,0.14373865698729582,0.8304184038796643
1,development,0.9679700478036242,0.21608852418251895,0.7523809523809524,0.12616144018583042,0.8101646815112293
0,training,0.9683382737310544,0.23859263331500824,0.75231124807396,0.14177858439201452,0.8189147932380747
1,development,0.967954807540882,0.22123456790123458,0.7392739273927392,0.13008130081300814,0.8330443589089421
0,training,0.967962427672253,0.2186706312333519,0.7456696239966202,0.12812137049941927,0.8218070428612386
1,development,0.9687065015291141,0.260326609029779,0.7522553782095767,0.1573979962247713,0.8284045013059084
